contest, numbers
1,"2,3,5,6,9,10,11,13,14,16,18,20,23,24,25"
2,"1,4,5,6,7,9,11,12,13,15,16,19,20,23,24"
3,"1,4,6,7,8,9,10,11,12,14,16,17,20,23,24"
4,"1,2,4,5,8,10,12,13,16,17,18,19,23,24,25"
5,"1,2,4,8,9,11,12,13,15,16,19,20,23,24,25"
6,"1,2,4,5,6,7,10,12,15,16,17,19,21,23,25"
7,"1,4,7,8,10,12,14,15,16,18,19,21,22,23,25"
8,"1,5,6,8,9,10,13,15,16,17,18,19,20,22,25"
9,"3,4,5,9,10,11,13,15,16,17,19,20,21,24,25"
10,"2,3,4,5,6,8,9,10,11,12,14,19,20,23,24"
11,"2,6,7,8,9,10,11,12,16,19,20,22,23,24,25"
12,"1,2,4,5,7,8,9,10,11,12,14,16,17,24,25"
13,"3,5,6,7,8,9,10,11,13,14,15,16,17,19,23"
14,"1,2,5,6,7,9,13,14,15,18,19,20,21,23,25"
15,"1,2,4,6,8,10,12,15,16,18,19,21,23,24,25"
16,"2,5,6,7,8,10,12,13,15,17,19,21,23,24,25"
17,"1,2,3,5,6,7,9,13,14,16,17,18,19,20,21"
18,"2,6,7,8,10,11,14,15,17,18,19,20,22,23,24"
19,"2,5,6,7,8,10,11,13,14,15,16,17,20,23,24"
20,"3,4,6,7,8,9,10,14,16,17,18,19,20,23,24"
21,"1,2,4,5,8,11,14,16,18,19,20,22,23,24,25"
22,"1,2,3,4,5,6,7,9,10,12,13,14,15,22,25"
23,"1,3,4,5,6,8,10,11,12,14,16,17,18,19,20"
24,"1,2,3,5,7,10,11,14,17,19,20,21,23,24,25"
25,"1,2,3,4,5,6,7,9,13,14,16,20,22,23,24"
26,"5,7,8,9,10,11,13,14,16,17,19,20,21,22,23"
27,"3,6,8,10,11,12,13,14,15,18,20,21,22,24,25"
28,"1,3,7,9,10,11,12,13,14,16,17,18,19,20,21"
29,"1,4,5,6,8,9,13,14,16,17,19,20,21,22,24"
30,"1,2,3,4,6,7,8,11,14,17,19,20,21,22,23"
31,"1,2,3,4,9,13,14,15,17,19,20,21,22,24,25"
32,"1,2,4,6,7,9,10,11,14,15,16,17,20,22,23"
33,"1,2,5,7,8,10,11,12,14,16,19,20,21,23,24"
34,"1,2,4,7,8,9,10,11,15,16,18,19,20,21,23"
35,"1,4,5,6,11,12,13,14,16,17,19,21,22,23,25"
36,"1,4,5,7,8,10,11,14,17,19,20,21,22,23,24"
37,"1,3,4,5,8,9,10,11,13,15,20,21,22,23,24"
38,"1,2,3,6,7,8,9,10,13,14,15,16,22,24,25"
39,"2,7,8,9,11,13,14,15,17,18,19,21,22,23,24"
40,"1,2,5,7,8,10,12,13,14,16,17,20,21,22,24"
41,"2,3,4,9,12,13,15,16,17,18,19,20,21,23,25"
42,"1,3,4,5,6,8,11,12,14,15,17,21,22,24,25"
43,"1,3,6,7,8,9,10,14,17,18,19,20,22,23,24"
44,"3,4,5,6,10,11,12,13,14,18,19,21,23,24,25"
45,"1,2,3,5,7,9,14,16,17,18,19,21,23,24,25"
46,"1,2,4,5,6,8,10,11,14,18,19,21,23,24,25"
47,"1,2,3,4,5,6,8,10,11,13,15,18,20,22,25"
48,"2,5,6,7,11,13,15,16,17,18,19,20,21,22,23"
49,"2,4,5,6,8,11,13,15,16,19,20,21,22,23,24"
