experiment_id,display_name,family,preset_name,bet_size,seed,contest,ticket_index,numbers,hits
random_15,Random 15,random,,15,42,100,1,"1,2,5,6,10,12,13,14,16,17,19,21,22,23,24",9
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,1,"4,7,10,11,13,15,16,17,19,20,21,22,23,24,25",9
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,1,"1,2,4,5,6,8,9,12,13,14,15,17,18,22,24",9
quantum_15,Quantum 15,quantum,,15,42,100,1,"1,2,3,4,6,7,10,11,13,15,16,17,18,23,24",9
statistical_balanced_15,Statistical balanced 15,statistical,balanced,15,42,100,1,"2,4,5,6,8,9,11,12,15,16,18,19,21,22,24",7
random_16,Random 16,random,,16,42,100,1,"1,2,5,6,10,12,13,14,15,16,17,19,21,22,23,24",9
intentionality_vector_16,Intentionality Vector 16,intentionality_vector,,16,42,100,1,"3,4,9,10,11,13,14,16,17,19,20,21,22,23,24,25",12
quantum_inspired_16,Quantum Inspired 16,quantum_inspired,,16,42,100,1,"1,2,4,5,6,8,9,11,12,13,14,15,17,18,22,24",10
quantum_16,Quantum 16,quantum,,16,42,100,1,"1,2,3,4,6,7,10,11,13,14,15,16,17,18,23,24",10
statistical_balanced_16,Statistical balanced 16,statistical,balanced,16,42,100,1,"2,4,5,6,8,9,11,12,14,15,16,18,19,21,22,24",8
